task,topology_family,repeat,drift,feature_group,macro_f1,bal_acc,class_mae,adjacent_acc
boundary,line,3,0.6,All,0.8017309205350118,0.8055555555555556,,
boundary,line,3,0.8,Topological,0.7734067663257277,0.7777777777777777,,
boundary,line,3,0.8,Complexity,0.6444444444444445,0.6666666666666666,,
boundary,line,3,0.8,Operational,0.6535685645549318,0.6666666666666667,,
boundary,line,3,0.8,All,0.6017021276595744,0.6388888888888888,,
boundary,line,3,1.0,Topological,0.6785714285714286,0.6944444444444444,,
boundary,line,3,1.0,Complexity,0.626788306033589,0.6527777777777778,,
boundary,line,3,1.0,Operational,0.6086956521739131,0.6388888888888888,,
boundary,line,3,1.0,All,0.6017021276595744,0.6388888888888888,,
boundary,line,4,0.0,Topological,0.9861084314103801,0.9861111111111112,,
boundary,line,4,0.0,Complexity,0.9722007722007722,0.9722222222222222,,
boundary,line,4,0.0,Operational,0.9444015444015443,0.9444444444444444,,
boundary,line,4,0.0,All,1.0,1.0,,
boundary,line,4,0.2,Topological,0.9583252942311403,0.9583333333333333,,
boundary,line,4,0.2,Complexity,0.8583792289535799,0.8611111111111112,,
boundary,line,4,0.2,Operational,0.8017309205350118,0.8055555555555556,,
boundary,line,4,0.2,All,0.9302190346966467,0.9305555555555556,,
boundary,line,4,0.4,Topological,0.9444015444015443,0.9444444444444444,,
boundary,line,4,0.4,Complexity,0.7499489274770174,0.7638888888888888,,
boundary,line,4,0.4,Operational,0.737012987012987,0.75,,
boundary,line,4,0.4,All,0.8583792289535799,0.8611111111111112,,
boundary,line,4,0.6,Topological,0.9164086687306502,0.9166666666666667,,
boundary,line,4,0.6,Complexity,0.7333333333333334,0.75,,
boundary,line,4,0.6,Operational,0.6629787234042555,0.6944444444444444,,
boundary,line,4,0.6,All,0.7499489274770174,0.7638888888888888,,
boundary,line,4,0.8,Topological,0.7822141560798548,0.7916666666666667,,
boundary,line,4,0.8,Complexity,0.7333333333333334,0.75,,
boundary,line,4,0.8,Operational,0.6051765738100461,0.6527777777777778,,
boundary,line,4,0.8,All,0.6989966555183946,0.7222222222222222,,
boundary,line,4,1.0,Topological,0.7333333333333334,0.75,,
boundary,line,4,1.0,Complexity,0.7205311542390194,0.7361111111111112,,
boundary,line,4,1.0,Operational,0.5636363636363637,0.625,,
boundary,line,4,1.0,All,0.5847382431233363,0.6388888888888888,,
boundary,line,5,0.0,Topological,0.9722007722007722,0.9722222222222222,,
boundary,line,5,0.0,Complexity,1.0,1.0,,
boundary,line,5,0.0,Operational,0.9304347826086956,0.9305555555555556,,
boundary,line,5,0.0,All,1.0,1.0,,
boundary,line,5,0.2,Topological,0.9722007722007722,0.9722222222222222,,
boundary,line,5,0.2,Complexity,0.916083916083916,0.9166666666666667,,
boundary,line,5,0.2,Operational,0.8185694902112812,0.8194444444444444,,
boundary,line,5,0.2,All,0.9722007722007722,0.9722222222222222,,
boundary,line,5,0.4,Topological,0.9722007722007722,0.9722222222222222,,
boundary,line,5,0.4,Complexity,0.8435710053328067,0.8472222222222222,,
boundary,line,5,0.4,Operational,0.7999999999999999,0.8055555555555556,,
boundary,line,5,0.4,All,0.9442724458204335,0.9444444444444444,,
boundary,line,5,0.6,Topological,0.9722007722007722,0.9722222222222222,,
boundary,line,5,0.6,Complexity,0.8133599202392822,0.8194444444444444,,
boundary,line,5,0.6,Operational,0.8133599202392822,0.8194444444444444,,
boundary,line,5,0.6,All,0.8875000000000001,0.8888888888888888,,
boundary,line,5,0.8,Topological,0.83125,0.8333333333333333,,
boundary,line,5,0.8,Complexity,0.737012987012987,0.75,,
boundary,line,5,0.8,Operational,0.7333333333333334,0.75,,
boundary,line,5,0.8,All,0.7979149959903769,0.8055555555555556,,
boundary,line,5,1.0,Topological,0.7559322033898306,0.7638888888888888,,
boundary,line,5,1.0,Complexity,0.7205311542390194,0.7361111111111112,,
boundary,line,5,1.0,Operational,0.6989966555183946,0.7222222222222222,,
boundary,line,5,1.0,All,0.650853889943074,0.6805555555555556,,
boundary,line,6,0.0,Topological,0.916083916083916,0.9166666666666667,,
boundary,line,6,0.0,Complexity,0.9861084314103801,0.9861111111111112,,
boundary,line,6,0.0,Operational,0.8749758826934209,0.875,,
boundary,line,6,0.0,All,0.9442724458204335,0.9444444444444444,,
boundary,line,6,0.2,Topological,0.916083916083916,0.9166666666666667,,
boundary,line,6,0.2,Complexity,0.916083916083916,0.9166666666666667,,
boundary,line,6,0.2,Operational,0.7734067663257277,0.7777777777777777,,
boundary,line,6,0.2,All,0.9444444444444444,0.9444444444444444,,
boundary,line,6,0.4,Topological,0.916083916083916,0.9166666666666667,,
boundary,line,6,0.4,Complexity,0.8133599202392822,0.8194444444444444,,
boundary,line,6,0.4,Operational,0.6785714285714286,0.6944444444444444,,
boundary,line,6,0.4,All,0.9164086687306502,0.9166666666666667,,
boundary,line,6,0.6,Topological,0.9164086687306502,0.9166666666666667,,
boundary,line,6,0.6,Complexity,0.7499489274770174,0.7638888888888888,,
boundary,line,6,0.6,Operational,0.5735906997148497,0.625,,
boundary,line,6,0.6,All,0.8300550747442959,0.8333333333333333,,
boundary,line,6,0.8,Topological,0.8888030888030888,0.8888888888888888,,
boundary,line,6,0.8,Complexity,0.6989966555183946,0.7222222222222222,,
boundary,line,6,0.8,Operational,0.59375,0.6388888888888888,,
boundary,line,6,0.8,All,0.7499489274770174,0.7638888888888888,,
boundary,line,6,1.0,Topological,0.7428571428571429,0.75,,
boundary,line,6,1.0,Complexity,0.6442534908700321,0.6805555555555556,,
boundary,line,6,1.0,Operational,0.4373668008524745,0.5416666666666666,,
